variante,rodada,tempo_s,itens_inseridos,itens_removidos,falhas_insercao,falhas_remocao,entregas_duplicadas,leituras_invalidas,itens_perdidos,threads_travadas,violou_controle_fluxo,violou_exclusao_mutua,correta
A,1,0.097904,3329,3329,671,671,0,0,0,0,1,0,0
A,2,0.090367,3098,3098,902,902,0,0,0,0,1,0,0
A,3,0.083278,2670,2670,1330,1330,0,0,0,0,1,0,0
A,4,0.085690,2789,2789,1211,1211,0,0,0,0,1,0,0
A,5,0.050182,1269,1269,2731,2731,0,0,0,0,1,0,0
A,6,0.086310,2895,2895,1105,1105,0,0,0,0,1,0,0
A,7,0.089213,3156,3146,844,854,0,0,0,0,1,0,0
A,8,0.079956,2590,2590,1410,1410,0,0,0,0,1,0,0
A,9,0.088658,3099,3089,901,911,0,0,0,0,1,0,0
A,10,0.071699,2242,2241,1758,1759,0,0,0,0,1,0,0
B,1,0.066260,4000,4000,0,0,2064,0,2064,0,0,1,0
B,2,0.069669,4000,4000,0,0,2077,0,2077,0,0,1,0
B,3,0.069093,4000,4000,0,0,2099,0,2099,0,0,1,0
B,4,0.069683,4000,4000,0,0,2080,0,2080,0,0,1,0
B,5,0.069411,4000,4000,0,0,2091,0,2091,0,0,1,0
B,6,0.068782,4000,4000,0,0,2071,0,2071,0,0,1,0
B,7,0.068921,4000,4000,0,0,2053,0,2053,0,0,1,0
B,8,0.068707,4000,4000,0,0,2069,0,2069,0,0,1,0
B,9,0.069228,4000,4000,0,0,2057,0,2057,0,0,1,0
B,10,0.070627,4000,4000,0,0,2102,0,2102,0,0,1,0
C,1,0.129204,4000,4000,0,0,0,0,0,0,0,0,1
C,2,0.127256,4000,4000,0,0,0,0,0,0,0,0,1
C,3,0.130865,4000,4000,0,0,0,0,0,0,0,0,1
C,4,0.125934,4000,4000,0,0,0,0,0,0,0,0,1
C,5,0.130556,4000,4000,0,0,0,0,0,0,0,0,1
C,6,0.125299,4000,4000,0,0,0,0,0,0,0,0,1
C,7,0.129144,4000,4000,0,0,0,0,0,0,0,0,1
C,8,0.125455,4000,4000,0,0,0,0,0,0,0,0,1
C,9,0.125344,4000,4000,0,0,0,0,0,0,0,0,1
C,10,0.135809,4000,4000,0,0,0,0,0,0,0,0,1
